ID,City Name,Country,Date,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed,Formatted Date
358620,Safaga,EG,1595731154,84.2,42,26.73,33.94,18,11.41,2020-07-25
6167817,Torbay,CA,1595730914,59,87,47.67,-52.73,40,6.93,2020-07-25
2206939,Bluff,NZ,1595731154,51.64,77,-46.6,168.33,58,20.22,2020-07-25
2128975,Nemuro,JP,1595731154,59,93,43.32,145.57,75,5.82,2020-07-25
964432,Port Alfred,ZA,1595731154,61.29,55,-33.59,26.89,0,13.65,2020-07-25
115781,Shahr-e Bābak,IR,1595731154,79.88,16,30.12,55.12,0,5.12,2020-07-25
4160021,Jacksonville,US,1595731111,82.4,74,30.33,-81.66,20,5.82,2020-07-25
1624041,Ternate,ID,1595731155,80.98,74,0.8,127.4,96,6.6,2020-07-25
1142263,Farah,AF,1595731155,85.15,19,32.5,62.5,0,4.81,2020-07-25
2138103,Thio,NC,1595731155,82.4,51,-21.62,166.22,20,9.17,2020-07-25
3163146,Andenes,NO,1595731155,55.4,82,69.31,16.12,66,6.93,2020-07-25
2444995,Filingué,NE,1595731155,81.88,67,14.35,3.32,2,13.13,2020-07-25
2126123,Chokurdakh,RU,1595731155,91.83,23,70.63,147.92,8,16.53,2020-07-25
5364271,Laguna,US,1595730862,89.6,21,38.42,-121.42,1,9.17,2020-07-25
1819729,Hong Kong,HK,1595730978,91,63,22.29,114.16,47,13,2020-07-25
934479,Grand Gaube,MU,1595731155,70,62,-20.01,57.66,86,11.01,2020-07-25
4036284,Alofi,NU,1595731156,77,69,-19.06,-169.92,99,14.99,2020-07-25
3870243,Taltal,CL,1595731156,58.28,57,-25.4,-70.48,30,4.29,2020-07-25
3520994,Puerto Escondido,MX,1595730937,81.23,73,15.85,-97.07,100,2.42,2020-07-25
5972291,Havre-St-Pierre,CA,1595731156,55.4,100,50.23,-63.6,90,2.24,2020-07-25
6255012,Flinders,AU,1595731156,60.01,93,-34.58,150.86,100,1.01,2020-07-25
2729907,Longyearbyen,SJ,1595731156,59,82,78.22,15.64,2,8.05,2020-07-25
3985710,Cabo San Lucas,MX,1595731156,86,73,22.89,-109.91,5,16.11,2020-07-25
2268339,Faro,PT,1595730965,84.2,18,37.02,-7.93,0,5.82,2020-07-25
3354071,Oranjemund,NA,1595731156,56.46,91,-28.55,16.43,0,11.83,2020-07-25
5880054,Barrow,US,1595731157,41,80,71.29,-156.79,90,6.93,2020-07-25
5847411,Kahului,US,1595731046,87.8,48,20.89,-156.47,40,24.16,2020-07-25
933277,Mosetse,BW,1595731157,46.85,83,-20.75,26.65,0,11.07,2020-07-25
3372707,Ribeira Grande,PT,1595731157,71.6,86,38.52,-28.7,11,13.56,2020-07-25
1502073,Krasnosel'kup,RU,1595731157,61.45,50,65.7,82.47,61,15.26,2020-07-25
2136825,Isangel,VU,1595731157,84.2,66,-19.55,169.27,40,8.05,2020-07-25
3532656,Asunción Nochixtlán,MX,1595731157,59.79,84,17.47,-97.23,100,2.68,2020-07-25
2434979,Bol,TD,1595731158,82.87,63,13.46,14.71,47,10.02,2020-07-25
5855927,Hilo,US,1595731158,84.2,62,19.73,-155.09,90,11.41,2020-07-25
2074865,Carnarvon,AU,1595731158,75.2,25,-24.87,113.63,0,11.41,2020-07-25
2022572,Khatanga,RU,1595731158,41.45,78,71.97,102.5,100,13.87,2020-07-25
1490140,Tara,RU,1595731158,61.66,74,56.89,74.37,77,7.92,2020-07-25
2318123,Yenagoa,NG,1595731158,74.25,93,4.92,6.26,100,2.77,2020-07-25
5587385,Burley,US,1595730966,82.4,34,42.54,-113.79,1,7.67,2020-07-25
6620339,Karratha,AU,1595731158,75.33,23,-20.74,116.85,99,22.12,2020-07-25
6071496,Meaford,CA,1595731158,73,63,44.6,-80.58,98,1.01,2020-07-25
2028164,Deputatsky,RU,1595731159,81.57,29,69.3,139.9,26,19.91,2020-07-25
5850554,Makakilo City,US,1595731159,86,58,21.35,-158.09,75,8.05,2020-07-25
935215,Saint-Philippe,RE,1595731159,68,63,-21.36,55.77,20,8.05,2020-07-25
1648186,Bontang,ID,1595731159,81.16,83,0.13,117.5,61,7.85,2020-07-25
4012344,Cuencamé de Ceniceros,MX,1595731159,77.65,46,24.87,-103.7,81,12.73,2020-07-25
3448903,São João da Barra,BR,1595731159,70.92,88,-21.64,-41.05,0,11.27,2020-07-25
3936456,Lima,PE,1595730970,60.8,82,-12.04,-77.03,90,5.82,2020-07-25
2027740,Amurzet,RU,1595731160,78.4,71,47.7,131.1,93,4.41,2020-07-25
2013279,Vostok,RU,1595731160,80.62,48,46.49,135.88,49,0.54,2020-07-25
1259385,Port Blair,IN,1595731025,85.21,70,11.67,92.75,65,4.63,2020-07-25
3899695,Ancud,CL,1595731160,48.99,100,-41.87,-73.82,75,3.36,2020-07-25
333795,Jijiga,ET,1595731160,62.01,72,9.35,42.8,76,19.95,2020-07-25
2018069,Peleduy,RU,1595731160,72.93,38,59.63,112.74,30,5.59,2020-07-25
2181625,Te Anau,NZ,1595731160,50.81,67,-45.42,167.72,90,5.28,2020-07-25
3883457,Lebu,CL,1595731161,52.83,96,-37.62,-73.65,100,20.11,2020-07-25
2641598,Newport,GB,1595731161,57,94,51.59,-3,0,11.99,2020-07-25
2033196,Zhangjiakou,CN,1595731143,75.04,55,40.81,114.88,33,12.37,2020-07-25
777019,Vardø,NO,1595731161,58.03,69,70.37,31.11,0,7.36,2020-07-25
57000,Hobyo,SO,1595731161,76.84,74,5.35,48.53,51,17.76,2020-07-25
610864,Khani,GE,1595731161,69.8,88,41.96,42.96,75,3.36,2020-07-25
6324729,Halifax,CA,1595731067,66.99,93,44.65,-63.57,20,3.36,2020-07-25
5866583,Saint Paul Harbor,US,1595731161,53.6,93,57.79,-152.41,90,10.29,2020-07-25
3347353,Menongue,AO,1595731161,44.31,61,-14.66,17.69,0,3.69,2020-07-25
359792,Aswān,EG,1595731161,85.68,21,24.09,32.91,25,10.25,2020-07-25
1283285,Jumla,NP,1595731162,69.84,59,29.27,82.18,51,3.29,2020-07-25
2180815,Tuatapere,NZ,1595731162,53.58,66,-46.13,167.68,21,7.36,2020-07-25
4033557,Tautira,PF,1595731162,82.4,65,-17.73,-149.15,20,5.82,2020-07-25
2429344,Kyabé,TD,1595731162,70.2,90,9.45,18.94,100,1.83,2020-07-25
5367788,Lompoc,US,1595731052,64,77,34.64,-120.46,0,12.75,2020-07-25
1788046,Xuchang,CN,1595731162,71.6,94,34.02,113.82,90,2.24,2020-07-25
1640344,Kendari,ID,1595731162,83.71,62,-3.94,122.5,29,3.27,2020-07-25
1790437,Zhuhai,CN,1595731162,98.01,70,22.28,113.57,20,12.75,2020-07-25
1736660,Kota Belud,MY,1595731163,84.2,79,6.35,116.43,20,3.36,2020-07-25
3430545,Morón,AR,1595730970,50,68,-34.65,-58.62,0,1.99,2020-07-25
934322,Mahébourg,MU,1595731163,69.8,60,-20.41,57.7,75,13.87,2020-07-25
175499,Nchelenge,ZM,1595731163,55.69,79,-9.35,28.73,16,7.81,2020-07-25
1015776,Bredasdorp,ZA,1595731163,57.2,87,-34.53,20.04,98,11.41,2020-07-25
6170031,Tuktoyaktuk,CA,1595731163,50,87,69.45,-133.04,90,4.7,2020-07-25
3407762,Amapá,BR,1595731163,70.99,97,1,-52,3,1.1,2020-07-25
1490256,Talnakh,RU,1595731163,53.6,66,69.49,88.4,0,26.84,2020-07-25
5922281,Chute-aux-Outardes,CA,1595731164,62.6,93,49.12,-68.4,90,9.17,2020-07-25
2209055,Waddān,LY,1595731164,69.62,53,29.16,16.14,0,0.18,2020-07-25
2136697,Lakatoro,VU,1595731164,80.6,74,-16.1,167.42,90,12.75,2020-07-25
2208248,Kaitangata,NZ,1595731164,55,54,-46.28,169.85,32,15.99,2020-07-25
2122104,Petropavlovsk-Kamchatskiy,RU,1595731164,73.4,56,53.05,158.65,100,6.71,2020-07-25
1701054,Marawi,PH,1595731164,84,80,8,124.29,23,5.01,2020-07-25
3521108,Progreso,MX,1595731164,81,74,21.28,-89.67,40,11.41,2020-07-25
597440,Linkuva,LT,1595731164,51.8,93,56.09,23.97,64,2.24,2020-07-25
3571913,Marsh Harbour,BS,1595731164,81.07,72,26.54,-77.06,99,15.3,2020-07-25
6088469,Nipawin,CA,1595731165,60.8,77,53.37,-104,40,17.22,2020-07-25
5746545,Portland,US,1595731028,79,49,45.52,-122.68,0,1.99,2020-07-25
2137773,Vao,NC,1595731165,70.61,82,-22.67,167.48,22,21.18,2020-07-25
964420,Port Elizabeth,ZA,1595731165,59,87,-33.92,25.57,0,17.22,2020-07-25
2112802,Hasaki,JP,1595731145,88,84,35.73,140.83,75,9.17,2020-07-25
2122090,Pevek,RU,1595731165,49.03,86,69.7,170.31,53,1.88,2020-07-25
5463237,Corrales,US,1595731165,70,83,35.24,-106.61,80,1.01,2020-07-25
1486321,Yar-Sale,RU,1595731165,58.86,75,66.83,70.83,4,11.9,2020-07-25
3369157,Cape Town,ZA,1595730883,57.99,93,-33.93,18.42,75,2.24,2020-07-25
3369174,Calvinia,ZA,1595731165,46.27,55,-31.47,19.78,0,3.49,2020-07-25
4142290,Dover,US,1595730903,78.8,83,39.16,-75.52,1,9.17,2020-07-25
2163355,Hobart,AU,1595731003,55.99,57,-42.88,147.33,20,4.7,2020-07-25
2071860,Esperance,AU,1595731166,59,82,-33.87,121.9,75,12.75,2020-07-25
3398856,Grajaú,BR,1595731166,73.2,56,-5.82,-46.14,0,2.66,2020-07-25
