ID,Country,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed
2013918,RU,288.03,67,60.42,134.53,100,4.33
2017155,RU,281.84,92,71.92,114.08,100,6.72
2487130,DZ,301.85,57,36.1,0.42,22,4.97
5882953,CA,276.15,100,68.22,-135.01,75,2.1
3369157,ZA,294.82,68,-33.93,18.42,0,3.6
2022572,RU,288.45,51,71.97,102.5,99,6.3
700834,UA,299.15,29,48.18,32.66,0,8
3948613,PE,288.49,64,-15.43,-74.62,52,1.2
3424607,GL,279.15,87,65.61,-37.64,75,4.1
1563241,VN,304.15,70,21.03,106.78,20,5.7
1067565,MG,294.7,43,-25.17,45.05,9,6.92
2476396,DZ,310.25,21,36.8,4.27,0,4.42
2068110,AU,296.15,27,-15.77,128.73,2,3.1
236901,CF,300.55,66,8.08,22.4,97,2.68
3693345,PE,295.65,84,-8.38,-74.55,64,0.57
1049261,MZ,293.15,52,-19.12,33.48,75,3.64
1503037,RU,293.09,77,58.69,99.18,51,0.71
1529651,CN,297.81,40,47.87,88.12,81,4.11
1863997,JP,300.15,88,32.69,128.84,75,2.6
4231997,US,296.15,77,33.19,-82.53,1,1.98
2065176,AU,282.04,91,-35.12,139.27,86,1.43
2276492,LR,298.31,86,4.38,-7.72,96,5.45
3404558,BR,297.15,88,-6.98,-34.83,13,2.1
6170031,CA,276.92,89,69.45,-133.04,98,4.18
3443061,UY,291.19,95,-33.7,-53.46,100,1.95
1071296,MG,297.05,54,-14.9,50.28,47,7.06
3883457,CL,281.17,81,-37.62,-73.65,56,3.15
2294915,GH,298.31,85,4.88,-1.76,68,5.28
734315,GR,302.15,30,40.26,21.54,20,2.6
6255012,AU,283.71,76,-34.58,150.86,13,0.89
3390581,BR,299.05,53,-7.36,-46.62,22,5.62
3974149,MX,289.15,87,22.95,-102.05,75,4.6
3183284,IT,307.15,34,40.56,8.32,6,3.1
2501152,DZ,308.15,24,36.37,6.61,0,2.1
3576994,TC,301.65,77,21.46,-71.14,4,8.44
1853174,JP,295.15,94,35.55,133.23,75,5.7
2310547,GQ,299.12,66,1.3,10.94,99,1.09
217834,CD,311.35,14,-9.2,25.85,0,0.92
3466704,BR,290.33,71,-24.79,-50.01,21,1.17
4031637,RU,279.52,78,65.58,-171,0,2.56
610864,GE,301.15,61,41.96,42.96,40,6.2
2092164,PG,301.75,71,-2.02,147.27,54,3.28
5530022,US,298.15,69,31.46,-100.44,1,1.57
2027276,RU,288.1,89,51.71,105.86,100,2.24
1819729,HK,303.71,66,22.29,114.16,22,4.02
2112802,JP,299.15,94,35.73,140.83,75,2.1
1785974,CN,297.15,53,37.68,112.73,76,4
5484874,US,293.15,82,34.19,-103.33,1,0.85
6141439,CA,289.15,87,46.52,-84.33,90,2.1
2063036,AU,283.62,74,-34.73,135.87,6,3.78
2208248,NZ,278.71,64,-46.28,169.85,64,8.49
5058868,US,288.15,87,48.11,-98.87,1,3.6
5815135,US,296.15,46,47.5,-120.5,1,8.7
5606401,US,287.04,87,48.28,-116.55,1,0.7
4560349,US,300.37,83,39.95,-75.16,75,1.5
6355222,AU,285.15,46,-25.24,130.99,0,2.6
3461017,BR,289.13,75,-25.47,-50.65,48,0.37
3035768,FR,297.52,46,47.48,3.9,57,3.41
2123814,RU,284.34,57,69.38,178.42,100,3.47
5856516,US,298.15,69,21.44,-157.84,20,1.5
102527,SA,316.15,6,29.97,40.21,0,4.6
2208091,NZ,282.04,85,-38.92,174.25,69,4.92
2132606,PG,298.08,83,-10.62,150.67,93,7.48
2126123,RU,297.49,49,70.63,147.92,60,3.06
2178753,SB,298.52,84,-10.45,161.92,99,4.18
2643044,GB,294.26,57,51.38,1.39,99,1.34
151711,TZ,297.61,36,-2.51,30.66,75,3.88
3390907,BR,297.85,59,-4.97,-39.02,34,4.63
1006984,ZA,295.15,43,-33.02,27.91,0,4.6
1648186,ID,300.67,78,0.13,117.5,99,2.67
3899695,CL,279.82,81,-41.87,-73.82,100,2.1
638936,FI,293.15,72,66.5,25.72,20,2.6
3393768,BR,300.27,70,-1.92,-55.52,80,0.99
2392087,BJ,300.15,83,6.5,2.6,40,5.1
1685418,PH,300.88,81,11.81,125.45,30,2.45
5536630,US,293.15,37,37.68,-113.06,1,4.1
1015776,ZA,293.15,64,-34.53,20.04,0,2.6
2181625,NZ,276.79,79,-45.42,167.72,60,3.39
3466165,BR,291.76,76,-30.18,-50.21,92,1.56
3577430,VG,301.15,78,18.42,-64.62,40,4.1
3461525,BR,298.41,42,-12.19,-43.22,0,2.69
371745,SD,303.09,39,14.2,24.67,95,5.93
4985521,US,295.15,83,43.09,-83.69,20,2.1
2015306,RU,283.49,85,71.69,128.87,74,0.5
2229798,CM,304.15,66,12.08,15.03,40,2.6
2194098,NZ,285.93,71,-35.17,173.17,65,7.09
2147714,AU,286.48,66,-33.87,151.21,37,0.89
4562996,PR,301.48,78,18.09,-67.15,21,0.45
4845585,US,297.59,88,41.14,-73.36,90,3.1
4032243,TO,290.15,93,-21.2,-175.2,20,1
2119283,RU,297.08,43,65.75,150.85,95,8.47
3354071,NA,296.64,24,-28.55,16.43,0,3.34
1611195,TH,305.15,66,19.29,100.86,20,2.1
2071860,AU,288.15,62,-33.87,121.9,90,5.1
2027196,RU,290.15,67,58.01,114.28,45,1.33
1267635,IN,301.26,82,14.8,74.13,100,2.69
1490085,RU,289.26,59,64.92,77.78,84,8.99
6171633,CA,287.04,92,48.93,-125.55,100,1.94
